company_name,content_top_tags,atmosphere_dist,format_dist,dress_code_dist,latest_records
クリエイトソリューションズ株式会社,"[""逆質問""]",{},{},{},"[""2025-02-27 10:00 試験_面接 内定 不明""]"
サッポロエンジニアリング株式会社,"[""将来のキャリア"", ""逆質問""]",{},{},{},"[""2025-03-18 16:00 試験_面接 内定 不明""]"
ノースシステム株式会社,"[""強み・弱み"", ""逆質問""]",{},{},{},"[""2025-03-12 11:00 試験_面接 継続（合格） 不明""]"
株式会社アルファテック,"[""志望動機"", ""学校で学んだこと"", ""チーム開発"", ""将来のキャリア"", ""成績""]",{},"{""オンライン"": 1.0}",{},"[""2025-01-30 14:00 試験_面接 継続（合格） オンライン""]"
株式会社エムライン,"[""将来のキャリア""]",{},{},{},"[""2025-03-05 15:00 試験_面接 落選 不明""]"
株式会社デジタルリンク,"[""志望動機"", ""逆質問""]","{""厳しめ"": 1.0}",{},{},"[""2025-03-01 13:00 試験_面接 継続（合格） 不明""]"
株式会社ビーリンク,"[""学校で学んだこと"", ""逆質問""]","{""厳しめ"": 1.0}",{},{},"[""2025-02-25 14:00 試験_面接 継続（合格） 不明""]"
株式会社フォースウェーブ,"[""逆質問""]",{},{},{},"[""2025-03-10 14:00 試験_面接 継続（合格） 不明""]"
株式会社ホライズンテック,"[""アルバイト経験"", ""逆質問""]","{""厳しめ"": 1.0}",{},{},"[""2025-03-20 10:00 試験_面接 継続（合格） 不明""]"
株式会社ライフネットワーク,"[""成績""]",{},{},{},"[""2025-03-15 09:00 試験_面接 落選 不明""]"
